"competition","season","country","competition_type","matchday","match_date","home_team","away_team","stadium","city","home_score","away_score","status","is_friendly","source","external_id"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-13T20:00:00+00:00","Getafe","Oviedo","","","2","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-13-getafe-oviedo"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-13T20:00:00+00:00","Sociedad","Real Madrid","","","1","2","finished","false","datahub-football-data","laliga-2025-2026-2025-09-13-sociedad-real-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-13T20:00:00+00:00","Ath Bilbao","Alaves","","","0","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-13-ath-bilbao-alaves"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-13T20:00:00+00:00","Ath Madrid","Villarreal","","","2","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-13-ath-madrid-villarreal"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-14T20:00:00+00:00","Celta","Girona","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-14-celta-girona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-14T20:00:00+00:00","Levante","Betis","","","2","2","finished","false","datahub-football-data","laliga-2025-2026-2025-09-14-levante-betis"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-14T20:00:00+00:00","Osasuna","Vallecano","","","2","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-14-osasuna-vallecano"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-14T20:00:00+00:00","Barcelona","Valencia","","","6","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-14-barcelona-valencia"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-15T20:00:00+00:00","Espanol","Mallorca","","","3","2","finished","false","datahub-football-data","laliga-2025-2026-2025-09-15-espanol-mallorca"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-19T20:00:00+00:00","Betis","Sociedad","","","3","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-19-betis-sociedad"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-20T20:00:00+00:00","Girona","Levante","","","0","4","finished","false","datahub-football-data","laliga-2025-2026-2025-09-20-girona-levante"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-20T20:00:00+00:00","Real Madrid","Espanol","","","2","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-20-real-madrid-espanol"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-20T20:00:00+00:00","Alaves","Sevilla","","","1","2","finished","false","datahub-football-data","laliga-2025-2026-2025-09-20-alaves-sevilla"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-20T20:00:00+00:00","Villarreal","Osasuna","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-20-villarreal-osasuna"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-20T20:00:00+00:00","Valencia","Ath Bilbao","","","2","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-20-valencia-ath-bilbao"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-21T20:00:00+00:00","Vallecano","Celta","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-21-vallecano-celta"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-21T20:00:00+00:00","Mallorca","Ath Madrid","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-21-mallorca-ath-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-21T20:00:00+00:00","Elche","Oviedo","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-21-elche-oviedo"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-21T20:00:00+00:00","Barcelona","Getafe","","","3","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-21-barcelona-getafe"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-23T20:00:00+00:00","Ath Bilbao","Girona","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-23-ath-bilbao-girona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-23T20:00:00+00:00","Espanol","Valencia","","","2","2","finished","false","datahub-football-data","laliga-2025-2026-2025-09-23-espanol-valencia"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-23T20:00:00+00:00","Levante","Real Madrid","","","1","4","finished","false","datahub-football-data","laliga-2025-2026-2025-09-23-levante-real-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-23T20:00:00+00:00","Sevilla","Villarreal","","","1","2","finished","false","datahub-football-data","laliga-2025-2026-2025-09-23-sevilla-villarreal"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-24T20:00:00+00:00","Getafe","Alaves","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-24-getafe-alaves"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-24T20:00:00+00:00","Ath Madrid","Vallecano","","","3","2","finished","false","datahub-football-data","laliga-2025-2026-2025-09-24-ath-madrid-vallecano"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-24T20:00:00+00:00","Sociedad","Mallorca","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-24-sociedad-mallorca"
