competition,season,country,competition_type,matchday,match_date,home_team,away_team,stadium,city,home_score,away_score,status,is_friendly,source,external_id
LaLiga,2023/2024,Spain,domestic_league,3,2023-08-28T20:00:00+00:00,Getafe,Alaves,,,1,0,finished,false,datahub-football-data,laliga-2023-2024-2023-08-28-getafe-alaves
LaLiga,2023/2024,Spain,domestic_league,3,2023-08-28T20:00:00+00:00,Vallecano,Ath Madrid,,,0,7,finished,false,datahub-football-data,laliga-2023-2024-2023-08-28-vallecano-ath-madrid
LaLiga,2023/2024,Spain,domestic_league,4,2023-09-01T20:00:00+00:00,Almeria,Celta,,,2,3,finished,false,datahub-football-data,laliga-2023-2024-2023-09-01-almeria-celta
LaLiga,2023/2024,Spain,domestic_league,4,2023-09-01T20:00:00+00:00,Cadiz,Villarreal,,,3,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-01-cadiz-villarreal
LaLiga,2023/2024,Spain,domestic_league,4,2023-09-02T20:00:00+00:00,Alaves,Valencia,,,1,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-02-alaves-valencia
LaLiga,2023/2024,Spain,domestic_league,4,2023-09-02T20:00:00+00:00,Betis,Vallecano,,,1,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-02-betis-vallecano
LaLiga,2023/2024,Spain,domestic_league,4,2023-09-02T20:00:00+00:00,Real Madrid,Getafe,,,2,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-02-real-madrid-getafe
LaLiga,2023/2024,Spain,domestic_league,4,2023-09-02T20:00:00+00:00,Sociedad,Granada,,,5,3,finished,false,datahub-football-data,laliga-2023-2024-2023-09-02-sociedad-granada
LaLiga,2023/2024,Spain,domestic_league,4,2023-09-03T20:00:00+00:00,Girona,Las Palmas,,,1,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-03-girona-las-palmas
LaLiga,2023/2024,Spain,domestic_league,4,2023-09-03T20:00:00+00:00,Mallorca,Ath Bilbao,,,0,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-03-mallorca-ath-bilbao
LaLiga,2023/2024,Spain,domestic_league,4,2023-09-03T20:00:00+00:00,Osasuna,Barcelona,,,1,2,finished,false,datahub-football-data,laliga-2023-2024-2023-09-03-osasuna-barcelona
LaLiga,2023/2024,Spain,domestic_league,4,2023-09-15T20:00:00+00:00,Vallecano,Alaves,,,2,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-15-vallecano-alaves
LaLiga,2023/2024,Spain,domestic_league,5,2023-09-16T20:00:00+00:00,Ath Bilbao,Cadiz,,,3,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-16-ath-bilbao-cadiz
LaLiga,2023/2024,Spain,domestic_league,5,2023-09-16T20:00:00+00:00,Barcelona,Betis,,,5,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-16-barcelona-betis
LaLiga,2023/2024,Spain,domestic_league,5,2023-09-16T20:00:00+00:00,Celta,Mallorca,,,0,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-16-celta-mallorca
LaLiga,2023/2024,Spain,domestic_league,5,2023-09-16T20:00:00+00:00,Valencia,Ath Madrid,,,3,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-16-valencia-ath-madrid
LaLiga,2023/2024,Spain,domestic_league,5,2023-09-17T20:00:00+00:00,Getafe,Osasuna,,,3,2,finished,false,datahub-football-data,laliga-2023-2024-2023-09-17-getafe-osasuna
LaLiga,2023/2024,Spain,domestic_league,5,2023-09-17T20:00:00+00:00,Real Madrid,Sociedad,,,2,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-17-real-madrid-sociedad
LaLiga,2023/2024,Spain,domestic_league,5,2023-09-17T20:00:00+00:00,Sevilla,Las Palmas,,,1,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-17-sevilla-las-palmas
LaLiga,2023/2024,Spain,domestic_league,5,2023-09-17T20:00:00+00:00,Villarreal,Almeria,,,2,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-17-villarreal-almeria
LaLiga,2023/2024,Spain,domestic_league,5,2023-09-18T20:00:00+00:00,Granada,Girona,,,2,4,finished,false,datahub-football-data,laliga-2023-2024-2023-09-18-granada-girona
LaLiga,2023/2024,Spain,domestic_league,5,2023-09-22T20:00:00+00:00,Alaves,Ath Bilbao,,,0,2,finished,false,datahub-football-data,laliga-2023-2024-2023-09-22-alaves-ath-bilbao
LaLiga,2023/2024,Spain,domestic_league,6,2023-09-23T20:00:00+00:00,Almeria,Valencia,,,2,2,finished,false,datahub-football-data,laliga-2023-2024-2023-09-23-almeria-valencia
LaLiga,2023/2024,Spain,domestic_league,6,2023-09-23T20:00:00+00:00,Barcelona,Celta,,,3,2,finished,false,datahub-football-data,laliga-2023-2024-2023-09-23-barcelona-celta
LaLiga,2023/2024,Spain,domestic_league,6,2023-09-23T20:00:00+00:00,Girona,Mallorca,,,5,3,finished,false,datahub-football-data,laliga-2023-2024-2023-09-23-girona-mallorca
LaLiga,2023/2024,Spain,domestic_league,6,2023-09-23T20:00:00+00:00,Osasuna,Sevilla,,,0,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-23-osasuna-sevilla
LaLiga,2023/2024,Spain,domestic_league,6,2023-09-24T20:00:00+00:00,Ath Madrid,Real Madrid,,,3,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-24-ath-madrid-real-madrid
LaLiga,2023/2024,Spain,domestic_league,6,2023-09-24T20:00:00+00:00,Betis,Cadiz,,,1,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-24-betis-cadiz
LaLiga,2023/2024,Spain,domestic_league,6,2023-09-24T20:00:00+00:00,Las Palmas,Granada,,,1,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-24-las-palmas-granada
LaLiga,2023/2024,Spain,domestic_league,6,2023-09-24T20:00:00+00:00,Sociedad,Getafe,,,4,3,finished,false,datahub-football-data,laliga-2023-2024-2023-09-24-sociedad-getafe
LaLiga,2023/2024,Spain,domestic_league,6,2023-09-24T20:00:00+00:00,Vallecano,Villarreal,,,1,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-24-vallecano-villarreal
LaLiga,2023/2024,Spain,domestic_league,6,2023-09-26T20:00:00+00:00,Mallorca,Barcelona,,,2,2,finished,false,datahub-football-data,laliga-2023-2024-2023-09-26-mallorca-barcelona
LaLiga,2023/2024,Spain,domestic_league,7,2023-09-26T20:00:00+00:00,Sevilla,Almeria,,,5,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-26-sevilla-almeria
LaLiga,2023/2024,Spain,domestic_league,7,2023-09-27T20:00:00+00:00,Ath Bilbao,Getafe,,,2,2,finished,false,datahub-football-data,laliga-2023-2024-2023-09-27-ath-bilbao-getafe
LaLiga,2023/2024,Spain,domestic_league,7,2023-09-27T20:00:00+00:00,Cadiz,Vallecano,,,0,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-27-cadiz-vallecano
LaLiga,2023/2024,Spain,domestic_league,7,2023-09-27T20:00:00+00:00,Real Madrid,Las Palmas,,,2,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-27-real-madrid-las-palmas
LaLiga,2023/2024,Spain,domestic_league,7,2023-09-27T20:00:00+00:00,Valencia,Sociedad,,,0,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-27-valencia-sociedad
LaLiga,2023/2024,Spain,domestic_league,7,2023-09-27T20:00:00+00:00,Villarreal,Girona,,,1,2,finished,false,datahub-football-data,laliga-2023-2024-2023-09-27-villarreal-girona
LaLiga,2023/2024,Spain,domestic_league,7,2023-09-28T20:00:00+00:00,Celta,Alaves,,,1,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-28-celta-alaves
LaLiga,2023/2024,Spain,domestic_league,7,2023-09-28T20:00:00+00:00,Granada,Betis,,,1,1,finished,false,datahub-football-data,laliga-2023-2024-2023-09-28-granada-betis
LaLiga,2023/2024,Spain,domestic_league,7,2023-09-28T20:00:00+00:00,Osasuna,Ath Madrid,,,0,2,finished,false,datahub-football-data,laliga-2023-2024-2023-09-28-osasuna-ath-madrid
LaLiga,2023/2024,Spain,domestic_league,7,2023-09-29T20:00:00+00:00,Barcelona,Sevilla,,,1,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-29-barcelona-sevilla
LaLiga,2023/2024,Spain,domestic_league,8,2023-09-30T20:00:00+00:00,Getafe,Villarreal,,,0,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-30-getafe-villarreal
LaLiga,2023/2024,Spain,domestic_league,8,2023-09-30T20:00:00+00:00,Girona,Real Madrid,,,0,3,finished,false,datahub-football-data,laliga-2023-2024-2023-09-30-girona-real-madrid
LaLiga,2023/2024,Spain,domestic_league,8,2023-09-30T20:00:00+00:00,Sociedad,Ath Bilbao,,,3,0,finished,false,datahub-football-data,laliga-2023-2024-2023-09-30-sociedad-ath-bilbao
LaLiga,2023/2024,Spain,domestic_league,8,2023-09-30T20:00:00+00:00,Vallecano,Mallorca,,,2,2,finished,false,datahub-football-data,laliga-2023-2024-2023-09-30-vallecano-mallorca
LaLiga,2023/2024,Spain,domestic_league,8,2023-10-01T20:00:00+00:00,Alaves,Osasuna,,,0,2,finished,false,datahub-football-data,laliga-2023-2024-2023-10-01-alaves-osasuna
LaLiga,2023/2024,Spain,domestic_league,8,2023-10-01T20:00:00+00:00,Almeria,Granada,,,3,3,finished,false,datahub-football-data,laliga-2023-2024-2023-10-01-almeria-granada
LaLiga,2023/2024,Spain,domestic_league,8,2023-10-01T20:00:00+00:00,Ath Madrid,Cadiz,,,3,2,finished,false,datahub-football-data,laliga-2023-2024-2023-10-01-ath-madrid-cadiz
LaLiga,2023/2024,Spain,domestic_league,8,2023-10-01T20:00:00+00:00,Betis,Valencia,,,3,0,finished,false,datahub-football-data,laliga-2023-2024-2023-10-01-betis-valencia
LaLiga,2023/2024,Spain,domestic_league,8,2023-10-02T20:00:00+00:00,Las Palmas,Celta,,,2,1,finished,false,datahub-football-data,laliga-2023-2024-2023-10-02-las-palmas-celta
LaLiga,2023/2024,Spain,domestic_league,8,2023-10-06T20:00:00+00:00,Ath Bilbao,Almeria,,,3,0,finished,false,datahub-football-data,laliga-2023-2024-2023-10-06-ath-bilbao-almeria
LaLiga,2023/2024,Spain,domestic_league,9,2023-10-07T20:00:00+00:00,Cadiz,Girona,,,0,1,finished,false,datahub-football-data,laliga-2023-2024-2023-10-07-cadiz-girona
